id;libelle;adresse;ville;numero;nb_etages;photo;photo_content_type
1;visualize Chips robust;ivory;Assistant;34830;83863;../fake-data/blob/hipster.png;image/png
2;schemas Pre-emptive;SQL des;withdrawal reboot channels;63826;33078;../fake-data/blob/hipster.png;image/png
3;pixel Soap Shoes;open-source;collaboration;13537;64273;../fake-data/blob/hipster.png;image/png
4;Frozen;Nord-Pas-de-Calais indexing;schemas;28332;86965;../fake-data/blob/hipster.png;image/png
5;24/365 Rand Belarussian;open-source;analyzing Bretagne;6109;86352;../fake-data/blob/hipster.png;image/png
6;Generic quantifying;Peso;salmon Customizable;46654;79008;../fake-data/blob/hipster.png;image/png
7;Face Algérie;EXE Enhanced Chat-qui-Pêche;Games;39726;39878;../fake-data/blob/hipster.png;image/png
8;c;Polarised de Haute-Normandie;Granite;98840;40483;../fake-data/blob/hipster.png;image/png
9;productize Bourgogne;Games Towels;invoice fuchsia;93083;39296;../fake-data/blob/hipster.png;image/png
10;l'Abbaye hardware;asymmetric Mouffetard;Pierre Checking magnetic;93731;70094;../fake-data/blob/hipster.png;image/png
